"RouteID","RouteType","RouteName","RouteDescription","RouteSegmentSequence","SegmentID","SegmentMapPointSequence","MapPointID","MapPointName","MapPointType","lat","lon"
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,34,111,"wal_to_bab","waypoint",42.204155,-71.259142
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,35,112,"wal_to_bab","waypoint",42.221692,-71.264756
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,36,113,"wal_to_bab","waypoint",42.22321,-71.270292
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,37,114,"wal_to_bab","waypoint",42.244277,-71.280255
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,38,115,"wal_to_bab","waypoint",42.25432,-71.272027
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,39,116,"wal_to_bab","waypoint",42.258833,-71.271842
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,40,117,"wal_to_bab","waypoint",42.259182,-71.270973
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,41,118,"wal_to_bab","waypoint",42.272063,-71.265744
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,42,119,"wal_to_bab","waypoint",42.275953,-71.255863
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,43,120,"wal_to_bab","waypoint",42.283565,-71.252805
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,44,121,"wal_to_bab","waypoint",42.288933,-71.26439
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,45,122,"wal_to_bab","waypoint",42.290409,-71.262985
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,46,123,"wal_to_bab","waypoint",42.291378,-71.26375
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,47,124,"wal_to_bab","waypoint",42.292565,-71.261619
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,48,125,"wal_to_bab","waypoint",42.29412,-71.261952
