"RouteID","RouteType","RouteName","RouteDescription","RouteSegmentSequence","SegmentID","SegmentWaypointSequence","WaypointID","WaypointName","WaypointType","X","lat","lon"
5,"2 Day","Babson to P-Town Family Finish","Babson to P-Town Family Finish",3,3,2,7,"Barnstable","waterstop",NA,41.693277,-70.2867777
5,"2 Day","Babson to P-Town Family Finish","Babson to P-Town Family Finish",3,3,3,8,"Brewster","waterstop",NA,41.775664,-70.0328457
5,"2 Day","Babson to P-Town Family Finish","Babson to P-Town Family Finish",4,5,1,8,"Brewster","waterstop",NA,41.775664,-70.0328457
5,"2 Day","Babson to P-Town Family Finish","Babson to P-Town Family Finish",4,5,2,10,"P-Town Family Finish","waterstop",NA,42.045892,-70.2178367
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",1,1,1,1,"Sturbridge","waterstop",NA,42.112956,-72.088047
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",1,1,2,2,"Whitinsville","waterstop",NA,42.108915,-71.6611197
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",1,1,3,3,"Franklin","waterstop",NA,42.0562035,-71.4209738
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",1,1,4,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",2,2,1,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",2,2,2,5,"Wareham","waterstop",NA,41.7544763,-70.6988275
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",2,2,3,6,"Mass Maritime Academy","waterstop",NA,41.7408513,-70.6220555
7,"1 Day","Babson to MMA","Babson to MMA",1,6,1,14,"Babson","waterstop",NA,42.295962,-71.263598
7,"1 Day","Babson to MMA","Babson to MMA",1,6,2,16,"Wrentham","waterstop",NA,42.083569,-71.326356
7,"1 Day","Babson to MMA","Babson to MMA",1,6,3,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
7,"1 Day","Babson to MMA","Babson to MMA",2,2,1,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
7,"1 Day","Babson to MMA","Babson to MMA",2,2,2,5,"Wareham","waterstop",NA,41.7544763,-70.6988275
7,"1 Day","Babson to MMA","Babson to MMA",2,2,3,6,"Mass Maritime Academy","waterstop",NA,41.7408513,-70.6220555
8,"1 Day","MMA to Babson","MMA to Babson",1,7,1,6,"Mass Maritime Academy","waterstop",NA,41.7408513,-70.6220555
8,"1 Day","MMA to Babson","MMA to Babson",1,7,2,11,"Middleboro","waterstop",NA,41.907339,-70.889621
8,"1 Day","MMA to Babson","MMA to Babson",1,7,3,12,"Patriot Place","waterstop",NA,42.088364,-71.261623
8,"1 Day","MMA to Babson","MMA to Babson",2,9,1,12,"Patriot Place","waterstop",NA,42.088364,-71.261623
8,"1 Day","MMA to Babson","MMA to Babson",2,9,2,17,"MouseHill","waypoint",NA,42.126562,-71.20895
8,"1 Day","MMA to Babson","MMA to Babson",2,9,3,13,"Walpole","waterstop",NA,42.163221,-71.237889
8,"1 Day","MMA to Babson","MMA to Babson",2,9,4,14,"Babson","waterstop",NA,42.295962,-71.263598
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,1,14,"Babson","waterstop",NA,42.295962,-71.263598
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,2,15,"Medfield","waterstop",NA,42.186932,-71.296431
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,3,12,"Patriot Place","waterstop",NA,42.088364,-71.261623
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,1,12,"Patriot Place","waterstop",NA,42.088364,-71.261623
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,2,17,"MouseHill","waypoint",NA,42.126562,-71.20895
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,3,13,"Walpole","waterstop",NA,42.163221,-71.237889
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,4,14,"Babson","waterstop",NA,42.295962,-71.263598
10,"1 Day","Babson to Patriot Place","Babson to Patriot Place",1,8,1,14,"Babson","waterstop",NA,42.295962,-71.263598
10,"1 Day","Babson to Patriot Place","Babson to Patriot Place",1,8,2,15,"Medfield","waterstop",NA,42.186932,-71.296431
10,"1 Day","Babson to Patriot Place","Babson to Patriot Place",1,8,3,12,"Patriot Place","waterstop",NA,42.088364,-71.261623
